rank,norm_mode,total_mae_vs_paper,mae_glass_identification,mae_ecoli,mae_Breast_Cancer
1,center,2.0946,0.8067,2.1481,3.3290
2,double_center,2.4959,0.8067,3.4324,3.2486
3,frobenius,3.5869,2.7768,4.0514,3.9324
4,robust,3.5950,7.5555,1.4400,1.7895
5,row_center,3.6408,2.9002,2.7300,5.2922
6,False,3.7880,2.7507,3.9205,4.6928
7,standardize,4.6464,7.6864,2.7529,3.5001
8,l2_sample,5.3839,2.5450,9.4424,4.1644
9,center_l2,5.7549,6.7705,8.5514,1.9429
10,minmax,5.8287,7.4807,7.0395,2.9658
11,pca_whiten,13.7609,11.2004,4.8957,25.1867
