dataset,norm_mode,algorithm,run,seed,gamma,acc,nmi,ari,runtime_s
glass+identification,center,kmeans,1,42,,54.2056,42.6463,27.3885,0.0179
glass+identification,center,kmeans,2,43,,54.2056,39.8524,24.7080,0.0045
glass+identification,center,kmeans,3,44,,52.3364,37.7644,26.3100,0.0012
glass+identification,center,kmeans,4,45,,54.2056,39.9562,26.3758,0.0010
glass+identification,center,kmeans,5,46,,54.6729,38.5140,26.1768,0.0010
glass+identification,center,diskmeans,1,42,10000.0,53.7383,42.3128,27.1202,0.0024
glass+identification,center,diskmeans,2,43,10000.0,52.3364,38.4887,26.5571,0.0020
glass+identification,center,diskmeans,3,44,10000.0,54.2056,42.7716,27.0195,0.0055
glass+identification,center,diskmeans,4,45,10000.0,52.3364,39.2266,26.7385,0.0030
glass+identification,center,diskmeans,5,46,10000.0,46.2617,35.6170,20.9592,0.0018
glass+identification,center,fdkm,1,42,10000.0,54.2056,42.7716,27.0195,0.0216
glass+identification,center,fdkm,2,43,10000.0,52.3364,38.8606,26.0825,0.0171
glass+identification,center,fdkm,3,44,10000.0,52.3364,38.8606,26.0825,0.0149
glass+identification,center,fdkm,4,45,10000.0,54.2056,42.7716,27.0195,0.0258
glass+identification,center,fdkm,5,46,10000.0,54.2056,42.7716,27.0195,0.0305
glass+identification,center,ifdkm,1,42,10000.0,54.2056,42.2808,28.0876,0.0207
glass+identification,center,ifdkm,2,43,10000.0,53.2710,35.8499,24.1375,0.0208
glass+identification,center,ifdkm,3,44,10000.0,54.2056,42.7716,27.0195,0.0326
glass+identification,center,ifdkm,4,45,10000.0,52.3364,38.8772,26.8519,0.0387
glass+identification,center,ifdkm,5,46,10000.0,53.7383,42.4370,26.7519,0.0367
glass+identification,center,ifdfd,1,42,10000.0,54.2056,42.7716,27.0195,0.0320
glass+identification,center,ifdfd,2,43,10000.0,52.3364,38.8772,26.8519,0.0631
glass+identification,center,ifdfd,3,44,10000.0,54.2056,42.7716,27.0195,0.0342
glass+identification,center,ifdfd,4,45,10000.0,52.3364,38.8772,26.8519,0.0482
glass+identification,center,ifdfd,5,46,10000.0,54.2056,42.7716,27.0195,0.0492
glass+identification,standardize,kmeans,1,42,,43.4579,30.5413,16.7988,0.0240
glass+identification,standardize,kmeans,2,43,,46.2617,31.8751,17.4982,0.0246
glass+identification,standardize,kmeans,3,44,,42.5234,28.5565,15.6162,0.0037
glass+identification,standardize,kmeans,4,45,,50.9346,43.2769,25.5715,0.0011
glass+identification,standardize,kmeans,5,46,,42.9907,33.6481,17.0076,0.0008
glass+identification,standardize,diskmeans,1,42,10000.0,45.7944,36.2619,18.9716,0.0071
glass+identification,standardize,diskmeans,2,43,10000.0,45.7944,32.9341,17.8598,0.0028
glass+identification,standardize,diskmeans,3,44,10000.0,45.7944,32.5310,17.0294,0.0067
glass+identification,standardize,diskmeans,4,45,10000.0,44.3925,34.1130,17.9624,0.0126
glass+identification,standardize,diskmeans,5,46,10000.0,46.2617,32.8908,17.6866,0.0126
glass+identification,standardize,fdkm,1,42,10000.0,45.3271,31.4626,16.9864,0.0151
glass+identification,standardize,fdkm,2,43,10000.0,44.8598,31.6543,15.9922,0.0181
glass+identification,standardize,fdkm,3,44,10000.0,44.8598,31.6543,15.9922,0.0180
glass+identification,standardize,fdkm,4,45,10000.0,46.7290,31.7235,17.1892,0.0154
glass+identification,standardize,fdkm,5,46,10000.0,46.7290,31.7235,17.1892,0.0151
glass+identification,standardize,ifdkm,1,42,10000.0,44.8598,33.6713,17.7785,0.0390
glass+identification,standardize,ifdkm,2,43,10000.0,41.5888,27.1374,14.0200,0.0261
glass+identification,standardize,ifdkm,3,44,10000.0,43.9252,32.1654,17.1401,0.0223
glass+identification,standardize,ifdkm,4,45,10000.0,45.3271,33.1348,17.4176,0.0183
glass+identification,standardize,ifdkm,5,46,10000.0,46.7290,32.8620,17.4310,0.0252
glass+identification,standardize,ifdfd,1,42,10000.0,46.7290,31.7235,17.1892,0.0992
glass+identification,standardize,ifdfd,2,43,10000.0,41.5888,27.1374,14.0200,0.0408
glass+identification,standardize,ifdfd,3,44,10000.0,45.3271,31.4626,16.9864,0.0358
glass+identification,standardize,ifdfd,4,45,10000.0,46.7290,31.7235,17.1892,0.0346
glass+identification,standardize,ifdfd,5,46,10000.0,45.3271,31.4626,16.9864,0.0307
glass+identification,pca_whiten,kmeans,1,42,,39.7196,27.9163,14.8891,0.0280
glass+identification,pca_whiten,kmeans,2,43,,44.8598,30.8531,17.5573,0.0165
glass+identification,pca_whiten,kmeans,3,44,,39.7196,24.8618,13.9628,0.0065
glass+identification,pca_whiten,kmeans,4,45,,45.7944,32.2952,16.3389,0.0028
glass+identification,pca_whiten,kmeans,5,46,,42.9907,33.1371,18.1586,0.0011
glass+identification,pca_whiten,diskmeans,1,42,1e-08,39.2523,22.8650,12.7684,0.0122
glass+identification,pca_whiten,diskmeans,2,43,1e-08,40.6542,28.4032,15.4153,0.0121
glass+identification,pca_whiten,diskmeans,3,44,1e-08,40.1869,28.1296,16.7232,0.0153
glass+identification,pca_whiten,diskmeans,4,45,1e-08,38.7850,26.4564,13.4603,0.0088
glass+identification,pca_whiten,diskmeans,5,46,1e-08,38.7850,29.5116,15.7613,0.0023
glass+identification,pca_whiten,fdkm,1,42,10000.0,51.4019,33.9492,21.9219,0.0709
glass+identification,pca_whiten,fdkm,2,43,10000.0,42.9907,28.3283,14.8064,0.0567
glass+identification,pca_whiten,fdkm,3,44,10000.0,46.7290,35.2137,21.4424,0.0179
glass+identification,pca_whiten,fdkm,4,45,10000.0,46.2617,25.6995,15.5340,0.0319
glass+identification,pca_whiten,fdkm,5,46,10000.0,42.0561,29.6146,15.2611,0.0640
glass+identification,pca_whiten,ifdkm,1,42,1e-08,39.7196,23.7159,12.4054,0.0278
glass+identification,pca_whiten,ifdkm,2,43,1e-08,39.2523,25.6607,12.3124,0.0328
glass+identification,pca_whiten,ifdkm,3,44,1e-08,39.2523,27.2791,14.9747,0.0476
glass+identification,pca_whiten,ifdkm,4,45,1e-08,37.8505,25.8345,13.0584,0.0530
glass+identification,pca_whiten,ifdkm,5,46,1e-08,37.8505,24.5977,12.7916,0.0418
glass+identification,pca_whiten,ifdfd,1,42,1e-08,43.9252,24.4313,12.5253,0.0391
glass+identification,pca_whiten,ifdfd,2,43,1e-08,40.6542,23.4995,13.4522,0.0392
glass+identification,pca_whiten,ifdfd,3,44,1e-08,41.5888,27.8483,14.9754,0.0755
glass+identification,pca_whiten,ifdfd,4,45,1e-08,40.1869,28.9091,14.6026,0.0879
glass+identification,pca_whiten,ifdfd,5,46,1e-08,42.5234,32.5267,15.0721,0.0396
glass+identification,l2_sample,kmeans,1,42,,54.2056,40.6288,27.2132,0.0212
glass+identification,l2_sample,kmeans,2,43,,54.2056,41.6163,26.6461,0.0116
glass+identification,l2_sample,kmeans,3,44,,52.3364,42.4721,26.8253,0.0021
glass+identification,l2_sample,kmeans,4,45,,54.2056,41.1051,26.5571,0.0015
glass+identification,l2_sample,kmeans,5,46,,52.8037,46.1347,29.2029,0.0009
glass+identification,l2_sample,diskmeans,1,42,1.0,53.2710,43.2030,27.9789,0.0070
glass+identification,l2_sample,diskmeans,2,43,1.0,52.8037,38.2610,26.4957,0.0059
glass+identification,l2_sample,diskmeans,3,44,1.0,54.2056,44.2881,28.0339,0.0041
glass+identification,l2_sample,diskmeans,4,45,1.0,52.8037,40.3840,27.1871,0.0049
glass+identification,l2_sample,diskmeans,5,46,1.0,53.7383,43.5912,27.6563,0.0046
glass+identification,l2_sample,fdkm,1,42,1.0,54.2056,43.5828,28.2619,0.0240
glass+identification,l2_sample,fdkm,2,43,1.0,54.6729,41.1675,26.5926,0.0255
glass+identification,l2_sample,fdkm,3,44,1.0,51.8692,40.3508,27.2544,0.0231
glass+identification,l2_sample,fdkm,4,45,1.0,54.2056,43.5828,28.2619,0.0170
glass+identification,l2_sample,fdkm,5,46,1.0,54.6729,41.1675,26.5926,0.0478
glass+identification,l2_sample,ifdkm,1,42,0.01,46.2617,37.1193,20.6512,0.0237
glass+identification,l2_sample,ifdkm,2,43,0.01,46.2617,32.3595,18.9148,0.0308
glass+identification,l2_sample,ifdkm,3,44,0.01,45.7944,31.8814,17.9945,0.0460
glass+identification,l2_sample,ifdkm,4,45,0.01,45.3271,31.9859,18.1648,0.0349
glass+identification,l2_sample,ifdkm,5,46,0.01,45.7944,31.9128,18.2472,0.0295
glass+identification,l2_sample,ifdfd,1,42,1.0,54.2056,35.8634,24.0088,0.1313
glass+identification,l2_sample,ifdfd,2,43,1.0,51.8692,40.3508,27.2544,0.1359
glass+identification,l2_sample,ifdfd,3,44,1.0,54.2056,43.5828,28.2619,0.0646
glass+identification,l2_sample,ifdfd,4,45,1.0,51.4019,35.1668,22.0486,0.0710
glass+identification,l2_sample,ifdfd,5,46,1.0,54.2056,43.5828,28.2619,0.0627
glass+identification,center_l2,kmeans,1,42,,54.6729,42.5949,27.6536,0.0276
glass+identification,center_l2,kmeans,2,43,,45.3271,36.8010,22.2042,0.0149
glass+identification,center_l2,kmeans,3,44,,44.8598,37.9020,22.0942,0.0015
glass+identification,center_l2,kmeans,4,45,,42.9907,36.4911,20.3639,0.0009
glass+identification,center_l2,kmeans,5,46,,52.8037,39.9054,25.7398,0.0009
glass+identification,center_l2,diskmeans,1,42,100.0,52.8037,40.5601,25.8183,0.0048
glass+identification,center_l2,diskmeans,2,43,100.0,53.7383,42.0187,26.9735,0.0040
glass+identification,center_l2,diskmeans,3,44,100.0,46.7290,36.1491,21.1787,0.0039
glass+identification,center_l2,diskmeans,4,45,100.0,45.3271,37.3702,21.7132,0.0030
glass+identification,center_l2,diskmeans,5,46,100.0,50.0000,34.5048,21.0656,0.0053
glass+identification,center_l2,fdkm,1,42,10000.0,53.2710,42.3438,26.8960,0.0142
